COD_DISBAR,BARRIOS,NRO_PERSONAS,ANIO,LATITUD,LONGITUD
133,PALOMERAS BAJAS,4372.0,2016,4470671.33,444074.8694
134,PALOMERAS SURESTE,3985.0,2016,4470708.716,445907.486
135,PORTAZGO,3202.0,2016,4471314.521,444982.7317
136,NUMANCIA,8117.0,2016,4472306.995,444116.7652
141,PAVONES,880.0,2016,4472183.36,446353.3523
142,HORCAJO,266.0,2016,4473295.298,446804.3855
143,MARROQUINA,1441.0,2016,4473543.376,445646.4672
144,MEDIA LEGUA,1360.0,2016,4473682.217,444272.189
145,FONTARRÓN,1791.0,2016,4472512.703,445115.9638
146,VINATEROS,1646.0,2016,4472936.191,445482.8128
151,VENTAS,6782.0,2016,4474850.803,445079.4926
152,PUEBLO NUEVO,8723.0,2016,4475266.901,446095.6831
153,QUINTANA,3814.0,2016,4476462.964,445289.7605
154,CONCEPCIÓN,2518.0,2016,4476721.345,444934.1577
155,SAN PASCUAL,1366.0,2016,4477117.637,444582.4
156,SAN JUAN BAUTISTA,988.0,2016,4477988.461,444343.151
157,COLINA,577.0,2016,4478807.34,444014.4325
158,ATALAYA,163.0,2016,4479501.192,443626.7881
159,COSTILLARES,1055.0,2016,4480877.84,443334.1197
161,PALOMAS,592.0,2016,4478175.942,447754.9382
162,PIOVERA,2067.0,2016,4478532.529,446151.4886
163,CANILLAS,3152.0,2016,4479433.42,445426.2189
164,PINAR DEL REY,4674.0,2016,4480401.898,445152.0269
165,APÓSTOL SANTIAGO,1055.0,2016,4480844.351,444105.2521
166,VALDEFUENTES,3924.0,2016,4482753.289,446176.0779
172,SAN CRISTÓBAL,4154.0,2016,4465820.907,441533.8022
173,BUTARQUE,1954.0,2016,4465394.096,442559.7779
174,LOS ROSALES,5880.0,2016,4467464.76,441536.5956
175,LOS ÁNGELES,3995.0,2016,4467482.211,440632.5318
181,CASCO HISTÓRICO DE VALLECAS,8543.0,2016,4466332.267,447496.1334
182,SANTA EUGENIA,2341.0,2016,4470494.392,448110.1432
191,CASCO HISTÓRICO DE VICÁLVARO,4799.0,2016,4471000.988,450789.392
201,SIMANCAS,3543.0,2016,4476263.737,446981.6721
202,HELLÍN,761.0,2016,4475772.544,447680.4837
203,AMPOSTA,970.0,2016,4475241.334,447234.3454
204,ARCOS,1870.0,2016,4474693.643,447607.4973
205,ROSAS,1527.0,2016,4475395.532,449590.4285
206,REJAS,2042.0,2016,4477317.169,451648.3991
207,CANILLEJAS,3675.0,2016,4477135.693,448224.083
208,SALVADOR,779.0,2016,4477373.192,446491.5939
211,ALAMEDA DE OSUNA,1085.0,2016,4478581.448,449818.2184
212,AEROPUERTO,299.0,2016,4481029.075,452237.8537
213,CASCO HISTÓRICO DE BARAJAS,1188.0,2016,4480530.185,450931.3676
214,TIMÓN,921.0,2016,4480810.557,448842.3002
215,CORRALEJOS,486.0,2016,4479457.295,448527.2781
11,PALACIO,3854.0,2018,4474110.875,439417.7914
12,EMBAJADORES,11275.0,2018,4473417.211,440397.1764
13,CORTES,2313.0,2018,4474035.577,440880.1521
14,JUSTICIA,3410.0,2018,4475014.208,440900.7625
15,UNIVERSIDAD,6475.0,2018,4475244.247,440020.8477
16,SOL,1805.0,2018,4474314.564,440226.8442
21,IMPERIAL,1518.0,2018,4473089.616,439045.6199
24,LEGAZPI,1318.0,2018,4471151.447,441682.9396
26,PALOS DE MOGUER,3675.0,2018,4472774.286,441057.6445
27,ATOCHA,69.0,2018,4472353.007,442131.2346
31,PACÍFICO,2798.0,2018,4472859.079,442407.5013
32,ADELFAS,1184.0,2018,4472494.747,443062.2345
34,IBIZA,2126.0,2018,4474469.277,442791.7959
36,NIÑO JESÚS,776.0,2018,4473660.907,442862.905
41,RECOLETOS,2491.0,2018,4475110.43,441820.8979
42,GOYA,3807.0,2018,4475153.753,442789.9119
43,FUENTE DEL BERRO,2310.0,2018,4475116.489,443691.2602
44,GUINDALERA,4146.0,2018,4476402.061,443463.5845
45,LISTA,2810.0,2018,4475927.641,442676.6687
46,CASTELLANA,2629.0,2018,4476104.298,441959.5528
51,EL VISO,1814.0,2018,4477360.964,441927.2958
52,PROSPERIDAD,3534.0,2018,4477279.652,443241.5164
53,CIUDAD JARDÍN,2088.0,2018,4477733.182,442929.7851
54,HISPANOAMÉRICA,2101.0,2018,4478520.651,442584.7337
55,NUEVA ESPAÑA,2210.0,2018,4479342.236,442506.6745
56,CASTILLA,1418.0,2018,4480625.699,442382.2751
61,BELLAS VISTAS,6306.0,2018,4478217.699,439996.5425
62,CUATRO CAMINOS,4838.0,2018,4478108.124,440893.969
63,CASTILLEJOS,2992.0,2018,4479092.74,441146.7116
64,ALMENARA,2985.0,2018,4480229.372,441142.6001
65,VALDEACEDERAS,5426.0,2018,4479832.029,440304.6074
66,BERRUGUETE,5610.0,2018,4479011.421,440230.3974
71,GAZTAMBIDE,2388.0,2018,4476283.322,439389.8945
72,ARAPILES,2596.0,2018,4476214.595,439947.5584
73,TRAFALGAR,3051.0,2018,4476037.29,440530.8517
74,ALMAGRO,2536.0,2018,4476032.059,441174.9953
75,RÍOS ROSAS,2875.0,2018,4477096.745,440826.6665
76,VALLEHERMOSO,1367.0,2018,4477158.887,439682.3814
81,EL PARDO,119.0,2018,4489409.578,435018.7103
82,FUENTELAREINA,248.0,2018,4481421.762,437127.6497
83,PEÑAGRANDE,3268.0,2018,4481152.656,438480.3153
85,LA PAZ,1622.0,2018,4481394.724,440957.8603
86,VALVERDE,6681.0,2018,4483501.173,442483.6118
87,MIRASIERRA,1547.0,2018,4483094.181,439024.2924
88,EL GOLOSO,901.0,2018,4487307.227,440716.0024
91,CASA DE CAMPO,1036.0,2018,4475050.323,436118.4975
92,ARGÜELLES,2835.0,2018,4475533.294,439109.0847
93,CIUDAD UNIVERSITARIA,1501.0,2018,4478627.02,437391.5065
94,VALDEZARZA,3062.0,2018,4479644.899,439188.6628
95,VALDEMARÍN,621.0,2018,4480009.063,433968.0416
96,EL PLANTÍO,220.0,2018,4480219.592,430409.7127
97,ARAVACA,2435.0,2018,4478516.428,433939.3352
101,LOS CÁRMENES,2308.0,2018,4472579.69,437550.3787
102,PUERTA DEL ÁNGEL,7497.0,2018,4473487.258,437907.9825
103,LUCERO,5517.0,2018,4472679.645,436327.8871
104,ALUCHE,9897.0,2018,4471531.816,435779.5365
105,CAMPAMENTO,3235.0,2018,4470817.836,431786.0869
106,CUATRO VIENTOS,338.0,2018,4468973.502,433434.5775
107,LAS ÁGUILAS,5339.0,2018,4470420.122,434547.9376
111,COMILLAS,3727.0,2018,4471676.723,439576.9792
112,OPAÑEL,6346.0,2018,4471320.131,438741.1131
113,SAN ISIDRO,7214.0,2018,4472031.606,438190.5428
114,VISTA ALEGRE,9165.0,2018,4470681.208,436700.7182
115,PUERTA BONITA,6908.0,2018,4470159.472,437262.2706
116,BUENAVISTA,5572.0,2018,4468769.588,436656.9012
117,ABRANTES,5262.0,2018,4470074.329,438358.4198
121,ORCASITAS,1636.0,2018,4468916.31,439516.2653
122,ORCASUR,1817.0,2018,4469305.319,440733.1193
123,SAN FERMÍN,4060.0,2018,4469120.886,441499.985
124,ALMENDRALES,5496.0,2018,4470576.407,440645.9665
125,MOSCARDÓ,6623.0,2018,4471173.407,440009.8419
126,ZOFÍO,3050.0,2018,4470110.376,439279.8576
127,PRADOLONGO,5502.0,2018,4469968.652,439974.4688
131,ENTREVÍAS,4721.0,2018,4469574.278,442858.5724
132,SAN DIEGO,10600.0,2018,4471262.193,443316.4678
133,PALOMERAS BAJAS,5011.0,2018,4470671.33,444074.8694
134,PALOMERAS SURESTE,4434.0,2018,4470708.716,445907.486
135,PORTAZGO,3635.0,2018,4471314.521,444982.7317
136,NUMANCIA,9012.0,2018,4472306.995,444116.7652
141,PAVONES,849.0,2018,4472183.36,446353.3523
142,HORCAJO,214.0,2018,4473295.298,446804.3855
143,MARROQUINA,1570.0,2018,4473543.376,445646.4672
144,MEDIA LEGUA,1468.0,2018,4473682.217,444272.189
145,FONTARRÓN,2105.0,2018,4472512.703,445115.9638
146,VINATEROS,1732.0,2018,4472936.191,445482.8128
151,VENTAS,7358.0,2018,4474850.803,445079.4926
152,PUEBLO NUEVO,9563.0,2018,4475266.901,446095.6831
153,QUINTANA,4245.0,2018,4476462.964,445289.7605
155,SAN PASCUAL,1403.0,2018,4477117.637,444582.4
156,SAN JUAN BAUTISTA,1084.0,2018,4477988.461,444343.151
157,COLINA,602.0,2018,4478807.34,444014.4325
158,ATALAYA,159.0,2018,4479501.192,443626.7881
159,COSTILLARES,1099.0,2018,4480877.84,443334.1197
161,PALOMAS,601.0,2018,4478175.942,447754.9382
162,PIOVERA,2037.0,2018,4478532.529,446151.4886
163,CANILLAS,3450.0,2018,4479433.42,445426.2189
164,PINAR DEL REY,5073.0,2018,4480401.898,445152.0269
165,APÓSTOL SANTIAGO,1196.0,2018,4480844.351,444105.2521
166,VALDEFUENTES,4768.0,2018,4482753.289,446176.0779
172,SAN CRISTÓBAL,4682.0,2018,4465820.907,441533.8022
173,BUTARQUE,2435.0,2018,4465394.096,442559.7779
174,LOS ROSALES,6618.0,2018,4467464.76,441536.5956
175,LOS ÁNGELES,4415.0,2018,4467482.211,440632.5318
181,CASCO HISTÓRICO DE VALLECAS,5981.0,2018,4466332.267,447496.1334
182,SANTA EUGENIA,2392.0,2018,4470494.392,448110.1432
183,ENSANCHE DE VALLECAS,3752.0,2018,4468601.207,448851.2322
191,CASCO HISTÓRICO DE VICÁLVARO,6448.0,2018,4471000.988,450789.392
192,VALDEBERNARDO,1007.0,2018,4471960.93,447585.5543
193,VALDERRIVAS,592.0,2018,4472194.558,448859.2798
201,SIMANCAS,4157.0,2018,4476263.737,446981.6721
202,HELLÍN,928.0,2018,4475772.544,447680.4837
203,AMPOSTA,1182.0,2018,4475241.334,447234.3454
204,ARCOS,2083.0,2018,4474693.643,447607.4973
205,ROSAS,1521.0,2018,4475395.532,449590.4285
206,REJAS,2554.0,2018,4477317.169,451648.3991
207,CANILLEJAS,4079.0,2018,4477135.693,448224.083
211,ALAMEDA DE OSUNA,1044.0,2018,4478581.448,449818.2184
212,AEROPUERTO,347.0,2018,4481029.075,452237.8537
213,CASCO HISTÓRICO DE BARAJAS,1268.0,2018,4480530.185,450931.3676
214,TIMÓN,1091.0,2018,4480810.557,448842.3002
215,CORRALEJOS,487.0,2018,4479457.295,448527.2781
11,PALACIO,4028.0,2019,4474110.875,439417.7914
12,EMBAJADORES,11869.0,2019,4473417.211,440397.1764
13,CORTES,2420.0,2019,4474035.577,440880.1521
14,JUSTICIA,3667.0,2019,4475014.208,440900.7625
15,UNIVERSIDAD,6845.0,2019,4475244.247,440020.8477
16,SOL,2008.0,2019,4474314.564,440226.8442
21,IMPERIAL,1606.0,2019,4473089.616,439045.6199
24,LEGAZPI,1391.0,2019,4471151.447,441682.9396
26,PALOS DE MOGUER,3841.0,2019,4472774.286,441057.6445
27,ATOCHA,65.0,2019,4472353.007,442131.2346
31,PACÍFICO,2958.0,2019,4472859.079,442407.5013
32,ADELFAS,1303.0,2019,4472494.747,443062.2345
34,IBIZA,2450.0,2019,4474469.277,442791.7959
36,NIÑO JESÚS,869.0,2019,4473660.907,442862.905
41,RECOLETOS,2644.0,2019,4475110.43,441820.8979
42,GOYA,4124.0,2019,4475153.753,442789.9119
43,FUENTE DEL BERRO,2490.0,2019,4475116.489,443691.2602
44,GUINDALERA,4423.0,2019,4476402.061,443463.5845
45,LISTA,2878.0,2019,4475927.641,442676.6687
46,CASTELLANA,2816.0,2019,4476104.298,441959.5528
51,EL VISO,1907.0,2019,4477360.964,441927.2958
52,PROSPERIDAD,3788.0,2019,4477279.652,443241.5164
53,CIUDAD JARDÍN,2145.0,2019,4477733.182,442929.7851
54,HISPANOAMÉRICA,2273.0,2019,4478520.651,442584.7337
55,NUEVA ESPAÑA,2252.0,2019,4479342.236,442506.6745
56,CASTILLA,1433.0,2019,4480625.699,442382.2751
61,BELLAS VISTAS,6650.0,2019,4478217.699,439996.5425
