COD_DISBAR,BARRIOS,NRO_PERSONAS,ANIO,LATITUD,LONGITUD
127,PRADOLONGO,1101.0,2018,4469968.652,439974.4688
131,ENTREVÍAS,3014.0,2018,4469574.278,442858.5724
132,SAN DIEGO,3178.0,2018,4471262.193,443316.4678
133,PALOMERAS BAJAS,2678.0,2018,4470671.33,444074.8694
134,PALOMERAS SURESTE,3068.0,2018,4470708.716,445907.486
135,PORTAZGO,2181.0,2018,4471314.521,444982.7317
136,NUMANCIA,3539.0,2018,4472306.995,444116.7652
141,PAVONES,578.0,2018,4472183.36,446353.3523
142,HORCAJO,381.0,2018,4473295.298,446804.3855
143,MARROQUINA,1302.0,2018,4473543.376,445646.4672
144,MEDIA LEGUA,1030.0,2018,4473682.217,444272.189
145,FONTARRÓN,1022.0,2018,4472512.703,445115.9638
146,VINATEROS,855.0,2018,4472936.191,445482.8128
151,VENTAS,2548.0,2018,4474850.803,445079.4926
152,PUEBLO NUEVO,3233.0,2018,4475266.901,446095.6831
153,QUINTANA,1307.0,2018,4476462.964,445289.7605
155,SAN PASCUAL,816.0,2018,4477117.637,444582.4
156,SAN JUAN BAUTISTA,395.0,2018,4477988.461,444343.151
157,COLINA,228.0,2018,4478807.34,444014.4325
158,ATALAYA,37.0,2018,4479501.192,443626.7881
159,COSTILLARES,732.0,2018,4480877.84,443334.1197
161,PALOMAS,181.0,2018,4478175.942,447754.9382
162,PIOVERA,377.0,2018,4478532.529,446151.4886
163,CANILLAS,1739.0,2018,4479433.42,445426.2189
164,PINAR DEL REY,2742.0,2018,4480401.898,445152.0269
165,APÓSTOL SANTIAGO,864.0,2018,4480844.351,444105.2521
166,VALDEFUENTES,1843.0,2018,4482753.289,446176.0779
172,SAN CRISTÓBAL,1454.0,2018,4465820.907,441533.8022
173,BUTARQUE,1061.0,2018,4465394.096,442559.7779
174,LOS ROSALES,2451.0,2018,4467464.76,441536.5956
175,LOS ÁNGELES,1966.0,2018,4467482.211,440632.5318
181,CASCO HISTÓRICO DE VALLECAS,3154.0,2018,4466332.267,447496.1334
182,SANTA EUGENIA,1498.0,2018,4470494.392,448110.1432
183,ENSANCHE DE VALLECAS,2409.0,2018,4468601.207,448851.2322
191,CASCO HISTÓRICO DE VICÁLVARO,2563.0,2018,4471000.988,450789.392
192,VALDEBERNARDO,1152.0,2018,4471960.93,447585.5543
193,VALDERRIVAS,663.0,2018,4472194.558,448859.2798
201,SIMANCAS,1676.0,2018,4476263.737,446981.6721
202,HELLÍN,678.0,2018,4475772.544,447680.4837
203,AMPOSTA,714.0,2018,4475241.334,447234.3454
204,ARCOS,1571.0,2018,4474693.643,447607.4973
205,ROSAS,1275.0,2018,4475395.532,449590.4285
206,REJAS,621.0,2018,4477317.169,451648.3991
207,CANILLEJAS,1587.0,2018,4477135.693,448224.083
211,ALAMEDA DE OSUNA,545.0,2018,4478581.448,449818.2184
212,AEROPUERTO,96.0,2018,4481029.075,452237.8537
213,CASCO HISTÓRICO DE BARAJAS,381.0,2018,4480530.185,450931.3676
214,TIMÓN,472.0,2018,4480810.557,448842.3002
215,CORRALEJOS,199.0,2018,4479457.295,448527.2781
11,PALACIO,1235.0,2019,4474110.875,439417.7914
12,EMBAJADORES,2704.0,2019,4473417.211,440397.1764
13,CORTES,533.0,2019,4474035.577,440880.1521
14,JUSTICIA,825.0,2019,4475014.208,440900.7625
15,UNIVERSIDAD,1599.0,2019,4475244.247,440020.8477
16,SOL,368.0,2019,4474314.564,440226.8442
21,IMPERIAL,934.0,2019,4473089.616,439045.6199
24,LEGAZPI,680.0,2019,4471151.447,441682.9396
26,PALOS DE MOGUER,1230.0,2019,4472774.286,441057.6445
27,ATOCHA,79.0,2019,4472353.007,442131.2346
31,PACÍFICO,1274.0,2019,4472859.079,442407.5013
32,ADELFAS,718.0,2019,4472494.747,443062.2345
34,IBIZA,749.0,2019,4474469.277,442791.7959
36,NIÑO JESÚS,363.0,2019,4473660.907,442862.905
41,RECOLETOS,323.0,2019,4475110.43,441820.8979
42,GOYA,886.0,2019,4475153.753,442789.9119
43,FUENTE DEL BERRO,787.0,2019,4475116.489,443691.2602
44,GUINDALERA,1443.0,2019,4476402.061,443463.5845
45,LISTA,635.0,2019,4475927.641,442676.6687
46,CASTELLANA,384.0,2019,4476104.298,441959.5528
51,EL VISO,332.0,2019,4477360.964,441927.2958
52,PROSPERIDAD,1391.0,2019,4477279.652,443241.5164
53,CIUDAD JARDÍN,706.0,2019,4477733.182,442929.7851
54,HISPANOAMÉRICA,848.0,2019,4478520.651,442584.7337
55,NUEVA ESPAÑA,569.0,2019,4479342.236,442506.6745
56,CASTILLA,567.0,2019,4480625.699,442382.2751
61,BELLAS VISTAS,1443.0,2019,4478217.699,439996.5425
62,CUATRO CAMINOS,1254.0,2019,4478108.124,440893.969
63,CASTILLEJOS,731.0,2019,4479092.74,441146.7116
64,ALMENARA,1632.0,2019,4480229.372,441142.6001
65,VALDEACEDERAS,1493.0,2019,4479832.029,440304.6074
66,BERRUGUETE,1367.0,2019,4479011.421,440230.3974
