COD_DISBAR,BARRIOS,TIPO_VIVIENDA,PRECIO(EUROS/M2),ANIO,LATITUD,LONGITUD
61,BELLAS VISTAS,USADAS,3081.7,2018,4478217.699,439996.5425
62,CUATRO CAMINOS,USADAS,4080.04,2018,4478108.124,440893.969
63,CASTILLEJOS,USADAS,4043.61,2018,4479092.74,441146.7116
64,ALMENARA,USADAS,3016.85,2018,4480229.372,441142.6001
65,VALDEACEDERAS,USADAS,2586.16,2018,4479832.029,440304.6074
66,BERRUGUETE,USADAS,2819.78,2018,4479011.421,440230.3974
71,GAZTAMBIDE,USADAS,4811.86,2018,4476283.322,439389.8945
72,ARAPILES,USADAS,5114.62,2018,4476214.595,439947.5584
73,TRAFALGAR,USADAS,5209.03,2018,4476037.29,440530.8517
74,ALMAGRO,USADAS,6254.67,2018,4476032.059,441174.9953
75,RÍOS ROSAS,USADAS,5110.11,2018,4477096.745,440826.6665
76,VALLEHERMOSO,USADAS,4564.21,2018,4477158.887,439682.3814
81,EL PARDO,USADAS,2430.23,2018,4489409.578,435018.7103
82,FUENTELAREINA,USADAS,3580.61,2018,4481421.762,437127.6497
83,PEÑAGRANDE,USADAS,3119.41,2018,4481152.656,438480.3153
84,PILAR,USADAS,3133.02,2018,4480959.021,439853.0231
85,LA PAZ,USADAS,3420.08,2018,4481394.724,440957.8603
86,VALVERDE,USADAS,3043.6,2018,4483501.173,442483.6118
87,MIRASIERRA,USADAS,4267.97,2018,4483094.181,439024.2924
88,EL GOLOSO,USADAS,5007.87,2018,4487307.227,440716.0024
91,CASA DE CAMPO,USADAS,3136.31,2018,4475050.323,436118.4975
92,ARGÜELLES,USADAS,4444.09,2018,4475533.294,439109.0847
93,CIUDAD UNIVERSITARIA,USADAS,4132.75,2018,4478627.02,437391.5065
94,VALDEZARZA,USADAS,2793.62,2018,4479644.899,439188.6628
95,VALDEMARÍN,USADAS,3974.84,2018,4480009.063,433968.0416
96,EL PLANTÍO,USADAS,3647.62,2018,4480219.592,430409.7127
97,ARAVACA,USADAS,3634.45,2018,4478516.428,433939.3352
101,LOS CÁRMENES,USADAS,1983.09,2018,4472579.69,437550.3787
102,PUERTA DEL ÁNGEL,USADAS,2338.19,2018,4473487.258,437907.9825
103,LUCERO,USADAS,2066.87,2018,4472679.645,436327.8871
104,ALUCHE,USADAS,2006.86,2018,4471531.816,435779.5365
105,CAMPAMENTO,USADAS,1970.37,2018,4470817.836,431786.0869
106,CUATRO VIENTOS,USADAS,0.0,2018,4468973.502,433434.5775
107,LAS ÁGUILAS,USADAS,1944.19,2018,4470420.122,434547.9376
111,COMILLAS,USADAS,2320.67,2018,4471676.723,439576.9792
112,OPAÑEL,USADAS,1983.76,2018,4471320.131,438741.1131
113,SAN ISIDRO,USADAS,2034.54,2018,4472031.606,438190.5428
114,VISTA ALEGRE,USADAS,1857.1,2018,4470681.208,436700.7182
115,PUERTA BONITA,USADAS,1716.99,2018,4470159.472,437262.2706
116,BUENAVISTA,USADAS,2078.52,2018,4468769.588,436656.9012
117,ABRANTES,USADAS,1755.8,2018,4470074.329,438358.4198
121,ORCASITAS,USADAS,1603.47,2018,4468916.31,439516.2653
122,ORCASUR,USADAS,2198.64,2018,4469305.319,440733.1193
123,SAN FERMÍN,USADAS,1653.63,2018,4469120.886,441499.985
124,ALMENDRALES,USADAS,2297.5,2018,4470576.407,440645.9665
125,MOSCARDÓ,USADAS,1958.46,2018,4471173.407,440009.8419
126,ZOFÍO,USADAS,1673.28,2018,4470110.376,439279.8576
127,PRADOLONGO,USADAS,1329.35,2018,4469968.652,439974.4688
131,ENTREVÍAS,USADAS,1310.91,2018,4469574.278,442858.5724
132,SAN DIEGO,USADAS,1659.41,2018,4471262.193,443316.4678
133,PALOMERAS BAJAS,USADAS,1743.54,2018,4470671.33,444074.8694
