BARRIOS,ANIO,PRECIO(EUROS/M2),PORCENTAJE_EVOLUCION
"VILLAVERDE ALTO, CASCO HISTÓRICO DE VILLAVERDE",2016,1188.38,0.0
"VILLAVERDE ALTO, CASCO HISTÓRICO DE VILLAVERDE",2018,1295.57,9.02
"VILLAVERDE ALTO, CASCO HISTÓRICO DE VILLAVERDE",2019,1584.98,22.34
VINATEROS,2016,1756.05,0.0
VINATEROS,2018,2162.89,23.17
VINATEROS,2019,2375.1,9.81
VISTA ALEGRE,2016,1456.58,0.0
VISTA ALEGRE,2018,1857.1,27.5
VISTA ALEGRE,2019,2119.9,14.15
ZOFÍO,2016,1304.02,0.0
ZOFÍO,2018,1673.28,28.32
ZOFÍO,2019,1918.9,14.68
