BARRIOS,ANIO,NRO_PERSONAS,PORCENTAJE_EVOLUCION
VALDEACEDERAS,2016,5417.0,0.0
VALDEACEDERAS,2018,5862.0,8.21
VALDEACEDERAS,2019,6235.0,6.36
VALDEBERNARDO,2018,4091.0,0.0
VALDEBERNARDO,2019,4185.0,2.3
VALDEFUENTES,2016,20027.0,0.0
VALDEFUENTES,2018,22875.0,14.22
VALDEFUENTES,2019,24685.0,7.91
VALDEMARÍN,2016,2800.0,0.0
VALDEMARÍN,2018,2947.0,5.25
VALDEMARÍN,2019,3066.0,4.04
VALDERRIVAS,2018,5107.0,0.0
VALDERRIVAS,2019,5125.0,0.35
VALDEZARZA,2016,7711.0,0.0
VALDEZARZA,2018,8146.0,5.64
VALDEZARZA,2019,8444.0,3.66
VALLEHERMOSO,2016,9836.0,0.0
VALLEHERMOSO,2018,10281.0,4.52
VALLEHERMOSO,2019,10592.0,3.02
VALVERDE,2016,18913.0,0.0
VALVERDE,2018,20504.0,8.41
VALVERDE,2019,21186.0,3.33
VENTAS,2016,8875.0,0.0
VENTAS,2018,9513.0,7.19
VENTAS,2019,10053.0,5.68
VINATEROS,2016,3257.0,0.0
VINATEROS,2018,3493.0,7.25
VINATEROS,2019,3658.0,4.72
VISTA ALEGRE,2016,6335.0,0.0
VISTA ALEGRE,2018,6751.0,6.57
VISTA ALEGRE,2019,7065.0,4.65
ZOFÍO,2016,1388.0,0.0
ZOFÍO,2018,1431.0,3.1
ZOFÍO,2019,1517.0,6.01
