BARRIOS,ANIO,NRO_PERSONAS,PORCENTAJE_EVOLUCION
VINATEROS,2018,5420.0,-2.68
VINATEROS,2019,5455.0,0.65
VENTAS,2016,17497.0,0.0
VENTAS,2018,17610.0,0.65
VENTAS,2019,17892.0,1.6
PUEBLO NUEVO,2016,22899.0,0.0
PUEBLO NUEVO,2018,23023.0,0.54
PUEBLO NUEVO,2019,23664.0,2.78
QUINTANA,2016,9154.0,0.0
QUINTANA,2018,9305.0,1.65
QUINTANA,2019,9601.0,3.18
CONCEPCIÓN,2016,7257.0,0.0
SAN PASCUAL,2016,6172.0,0.0
SAN PASCUAL,2018,6089.0,-1.34
SAN PASCUAL,2019,6049.0,-0.66
SAN JUAN BAUTISTA,2016,4412.0,0.0
SAN JUAN BAUTISTA,2018,4427.0,0.34
SAN JUAN BAUTISTA,2019,4400.0,-0.61
COLINA,2016,2139.0,0.0
COLINA,2018,2209.0,3.27
COLINA,2019,2270.0,2.76
ATALAYA,2016,543.0,0.0
ATALAYA,2018,525.0,-3.31
ATALAYA,2019,512.0,-2.48
COSTILLARES,2016,7760.0,0.0
COSTILLARES,2018,7600.0,-2.06
COSTILLARES,2019,7623.0,0.3
PALOMAS,2016,2366.0,0.0
PALOMAS,2018,2343.0,-0.97
PALOMAS,2019,2344.0,0.04
PIOVERA,2016,5360.0,0.0
PIOVERA,2018,5350.0,-0.19
PIOVERA,2019,5370.0,0.37
CANILLAS,2016,14243.0,0.0
CANILLAS,2018,13952.0,-2.04
CANILLAS,2019,13858.0,-0.67
PINAR DEL REY,2016,18459.0,0.0
PINAR DEL REY,2018,18142.0,-1.72
PINAR DEL REY,2019,18282.0,0.77
APÓSTOL SANTIAGO,2016,5383.0,0.0
APÓSTOL SANTIAGO,2018,5381.0,-0.04
APÓSTOL SANTIAGO,2019,5498.0,2.17
VALDEFUENTES,2016,22052.0,0.0
VALDEFUENTES,2018,23490.0,6.52
VALDEFUENTES,2019,24495.0,4.28
SAN CRISTÓBAL,2016,6422.0,0.0
SAN CRISTÓBAL,2018,6624.0,3.15
SAN CRISTÓBAL,2019,6977.0,5.33
BUTARQUE,2016,7769.0,0.0
BUTARQUE,2018,8033.0,3.4
BUTARQUE,2019,7982.0,-0.63
LOS ROSALES,2016,14064.0,0.0
LOS ROSALES,2018,14087.0,0.16
LOS ROSALES,2019,14349.0,1.86
LOS ÁNGELES,2016,10466.0,0.0
LOS ÁNGELES,2018,10449.0,-0.16
LOS ÁNGELES,2019,10838.0,3.72
CASCO HISTÓRICO DE VALLECAS,2016,37931.0,0.0
CASCO HISTÓRICO DE VALLECAS,2018,15968.0,-57.9
CASCO HISTÓRICO DE VALLECAS,2019,16216.0,1.55
SANTA EUGENIA,2016,9186.0,0.0
SANTA EUGENIA,2018,8924.0,-2.85
SANTA EUGENIA,2019,8828.0,-1.08
ENSANCHE DE VALLECAS,2018,23105.0,0.0
